empleado_id,empresa_id,genero,edad,experiencia,antiguedad,departamento,seniority,modalidad,salario
EMP_00023,EMP_040,Hombre,58,34.1,4.6,RRHH,Senior,Híbrido,45k-60k
EMP_00024,EMP_024,Hombre,35,19.7,1.2,Data & IA,Mid,Remoto,30k-45k
EMP_00025,EMP_043,Hombre,36,13.7,1.1,Desarrollo,Mid,Híbrido,30k-45k
EMP_00026,EMP_017,Hombre,53,28.2,5.1,Ventas,Junior,Híbrido,<30k
EMP_00027,EMP_023,Mujer,53,29.4,3.8,UX/UI,Mid,Presencial,30k-45k
EMP_00028,EMP_032,Hombre,36,12.4,4.5,Desarrollo,Junior,Híbrido,<30k
EMP_00029,EMP_020,Mujer,53,34.2,4.6,Producto,Junior,Híbrido,<30k
EMP_00030,EMP_010,Mujer,49,28.8,3.7,QA,Mid,Presencial,30k-45k
EMP_00031,EMP_012,Hombre,49,26.2,0.2,Ventas,Mid,Híbrido,30k-45k
EMP_00032,EMP_024,Hombre,32,8.5,2.3,Ventas,Lead,Híbrido,>60k
EMP_00033,EMP_034,Hombre,46,22.6,2.3,DevOps,Junior,Híbrido,<30k
EMP_00034,EMP_016,Mujer,48,28.5,2.4,UX/UI,Mid,Híbrido,30k-45k
EMP_00035,EMP_046,Mujer,24,2.0,2.5,Desarrollo,Senior,Remoto,45k-60k
EMP_00036,EMP_046,Hombre,30,11.9,2.7,Producto,Senior,Híbrido,45k-60k
EMP_00037,EMP_037,Mujer,45,22.7,3.8,UX/UI,Junior,Híbrido,<30k
EMP_00038,EMP_000,Hombre,53,26.8,5.5,Producto,Mid,Híbrido,30k-45k
EMP_00039,EMP_015,Hombre,33,11.0,0.0,Producto,Junior,Presencial,<30k
EMP_00040,EMP_010,Hombre,58,36.1,7.9,RRHH,Junior,Híbrido,<30k
EMP_00041,EMP_007,Mujer,44,23.0,2.5,Ventas,Senior,Presencial,45k-60k
EMP_00042,EMP_005,Mujer,40,18.7,6.9,Administración,Senior,Híbrido,45k-60k
EMP_00043,EMP_043,Hombre,47,27.3,4.5,Finanzas,Senior,Híbrido,45k-60k
EMP_00044,EMP_046,Hombre,38,14.4,5.8,Ventas,Mid,Híbrido,30k-45k
EMP_00045,EMP_033,Mujer,55,34.2,7.4,Producto,Junior,Híbrido,<30k
EMP_00046,EMP_031,Hombre,37,14.0,4.8,QA,Junior,Remoto,<30k
EMP_00047,EMP_046,Hombre,27,6.6,3.9,DevOps,Mid,Híbrido,30k-45k
EMP_00048,EMP_032,Hombre,57,35.0,2.3,Ventas,Mid,Híbrido,30k-45k
EMP_00049,EMP_033,Mujer,40,16.6,2.5,RRHH,Junior,Híbrido,<30k
EMP_00050,EMP_024,Hombre,54,32.9,0.0,Marketing,Junior,Híbrido,<30k
EMP_00051,EMP_019,Mujer,22,2.3,4.7,Marketing,Mid,Híbrido,30k-45k
EMP_00052,EMP_026,Mujer,44,25.7,3.8,Administración,Mid,Híbrido,30k-45k
EMP_00053,EMP_026,Hombre,28,8.1,4.1,RRHH,Mid,Presencial,30k-45k
EMP_00054,EMP_019,Hombre,23,3.0,3.3,Administración,Senior,Híbrido,45k-60k
EMP_00055,EMP_034,Mujer,30,9.9,0.9,Producto,Mid,Híbrido,30k-45k
EMP_00056,EMP_011,Hombre,37,16.2,5.4,DevOps,Senior,Remoto,45k-60k
EMP_00057,EMP_034,Mujer,32,11.7,6.6,QA,Mid,Híbrido,30k-45k
EMP_00058,EMP_039,Hombre,46,24.3,0.6,RRHH,Junior,Remoto,<30k
EMP_00059,EMP_023,Hombre,56,31.6,4.3,Marketing,Lead,Híbrido,>60k
EMP_00060,EMP_013,Hombre,54,32.0,2.2,Producto,Junior,Presencial,<30k
EMP_00061,EMP_040,Mujer,41,21.7,1.5,Desarrollo,Mid,Presencial,30k-45k
EMP_00062,EMP_022,Hombre,24,3.6,6.8,QA,Senior,Presencial,45k-60k
EMP_00063,EMP_012,Mujer,33,15.5,3.3,Data & IA,Junior,Híbrido,<30k
EMP_00064,EMP_046,Hombre,43,22.8,2.5,RRHH,Senior,Híbrido,45k-60k
EMP_00065,EMP_031,Hombre,48,22.1,1.3,Ventas,Senior,Presencial,45k-60k
EMP_00066,EMP_027,Hombre,54,31.5,8.4,DevOps,Lead,Híbrido,>60k
EMP_00067,EMP_046,Mujer,26,4.0,0.0,Finanzas,Lead,Presencial,>60k
EMP_00068,EMP_014,Mujer,25,3.1,2.7,RRHH,Senior,Híbrido,45k-60k
EMP_00069,EMP_028,Mujer,38,16.0,3.4,Ventas,Senior,Híbrido,45k-60k
EMP_00070,EMP_001,Hombre,27,4.8,4.5,Administración,Lead,Híbrido,>60k
EMP_00071,EMP_042,Mujer,52,28.3,0.0,Ventas,Junior,Híbrido,<30k
EMP_00072,EMP_001,Hombre,44,21.8,0.0,Data & IA,Senior,Híbrido,45k-60k
EMP_00073,EMP_020,Hombre,39,18.4,3.2,Data & IA,Mid,Híbrido,30k-45k
EMP_00074,EMP_029,Hombre,24,0.2,3.3,Desarrollo,Junior,Híbrido,<30k
EMP_00075,EMP_010,Mujer,53,28.7,5.8,RRHH,Mid,Híbrido,30k-45k
EMP_00076,EMP_047,Mujer,48,23.9,0.6,Finanzas,Junior,Remoto,<30k
EMP_00077,EMP_004,Hombre,54,32.8,1.5,Marketing,Junior,Híbrido,<30k
EMP_00078,EMP_040,Hombre,50,26.7,0.0,Producto,Senior,Híbrido,45k-60k
EMP_00079,EMP_020,Mujer,46,22.5,3.4,UX/UI,Junior,Remoto,<30k
EMP_00080,EMP_010,Hombre,28,8.9,3.0,Data & IA,Mid,Híbrido,30k-45k
EMP_00081,EMP_045,Mujer,22,0.0,1.6,Data & IA,Lead,Híbrido,>60k
EMP_00082,EMP_007,Hombre,35,12.4,4.5,RRHH,Mid,Híbrido,30k-45k
EMP_00083,EMP_038,Hombre,49,23.9,7.0,Administración,Mid,Híbrido,30k-45k
EMP_00084,EMP_039,Hombre,43,19.2,2.1,Marketing,Junior,Híbrido,<30k
EMP_00085,EMP_045,Hombre,43,20.2,3.2,Data & IA,Junior,Híbrido,<30k
EMP_00086,EMP_006,Hombre,27,5.7,0.0,Administración,Junior,Híbrido,<30k
EMP_00087,EMP_029,Mujer,58,39.1,3.3,UX/UI,Junior,Híbrido,<30k
EMP_00088,EMP_039,Hombre,26,6.4,2.7,Producto,Senior,Presencial,45k-60k
EMP_00089,EMP_041,Mujer,53,35.8,6.7,Finanzas,Senior,Híbrido,45k-60k
EMP_00090,EMP_038,Hombre,37,15.0,3.9,Data & IA,Senior,Remoto,45k-60k
EMP_00091,EMP_033,Mujer,51,28.8,2.0,Producto,Junior,Híbrido,<30k
EMP_00092,EMP_042,Mujer,40,16.4,2.8,Finanzas,Mid,Remoto,30k-45k
EMP_00093,EMP_026,Mujer,58,39.6,1.6,UX/UI,Mid,Remoto,30k-45k
EMP_00094,EMP_041,Hombre,22,0.0,2.4,Data & IA,Senior,Remoto,45k-60k
EMP_00095,EMP_010,Hombre,55,32.4,2.6,DevOps,Junior,Híbrido,<30k
EMP_00096,EMP_014,Hombre,46,21.5,4.8,QA,Mid,Híbrido,30k-45k
EMP_00097,EMP_024,Hombre,37,19.3,3.5,Administración,Senior,Remoto,45k-60k
EMP_00098,EMP_025,Mujer,26,1.3,6.7,Producto,Junior,Presencial,<30k
EMP_00099,EMP_042,Hombre,33,8.6,3.5,QA,Junior,Híbrido,<30k
EMP_00100,EMP_043,Hombre,43,21.9,4.5,Marketing,Mid,Presencial,30k-45k
EMP_00101,EMP_007,Hombre,33,9.9,5.2,QA,Senior,Híbrido,45k-60k
EMP_00102,EMP_008,Mujer,51,28.2,3.3,UX/UI,Junior,Híbrido,<30k
EMP_00103,EMP_034,Hombre,26,3.4,4.0,Administración,Junior,Híbrido,<30k
EMP_00104,EMP_030,Mujer,31,9.1,7.7,Desarrollo,Junior,Híbrido,<30k
EMP_00105,EMP_035,Mujer,22,3.9,3.8,RRHH,Junior,Remoto,<30k
EMP_00106,EMP_010,Hombre,37,15.4,1.8,Finanzas,Junior,Híbrido,<30k
EMP_00107,EMP_040,Mujer,49,28.3,3.3,UX/UI,Junior,Híbrido,<30k
EMP_00108,EMP_022,Mujer,45,24.5,6.6,Producto,Senior,Híbrido,45k-60k
EMP_00109,EMP_005,Mujer,54,36.3,0.0,Administración,Junior,Híbrido,<30k
EMP_00110,EMP_011,Hombre,58,38.3,3.9,Desarrollo,Mid,Presencial,30k-45k
EMP_00111,EMP_048,Hombre,31,7.7,1.3,Desarrollo,Mid,Presencial,30k-45k
EMP_00112,EMP_029,Mujer,33,11.6,1.8,Finanzas,Mid,Remoto,30k-45k
EMP_00113,EMP_033,Hombre,38,13.7,6.1,Producto,Lead,Presencial,>60k
EMP_00114,EMP_040,Hombre,31,7.8,2.3,Data & IA,Mid,Remoto,30k-45k
EMP_00115,EMP_014,Mujer,32,10.7,4.2,QA,Junior,Híbrido,<30k
EMP_00116,EMP_011,Mujer,42,20.1,4.0,Ventas,Mid,Remoto,30k-45k
EMP_00117,EMP_024,Mujer,58,37.5,4.2,DevOps,Mid,Remoto,30k-45k
EMP_00118,EMP_043,Mujer,56,30.4,0.6,DevOps,Senior,Remoto,45k-60k
EMP_00119,EMP_005,Mujer,53,32.1,2.6,Marketing,Junior,Remoto,<30k
EMP_00120,EMP_035,Mujer,58,37.5,0.8,Administración,Junior,Híbrido,<30k
EMP_00121,EMP_032,Hombre,44,21.2,3.5,Marketing,Senior,Presencial,45k-60k
EMP_00122,EMP_010,Mujer,38,15.3,9.5,UX/UI,Junior,Híbrido,<30k
EMP_00123,EMP_045,Mujer,46,25.4,2.4,Marketing,Senior,Presencial,45k-60k
EMP_00124,EMP_012,Hombre,57,34.5,1.8,RRHH,Junior,Híbrido,<30k
EMP_00125,EMP_007,Hombre,35,12.6,7.0,Data & IA,Junior,Híbrido,<30k
EMP_00126,EMP_047,Hombre,37,11.4,2.1,Finanzas,Lead,Presencial,>60k
EMP_00127,EMP_020,Mujer,46,21.1,3.5,Producto,Senior,Presencial,45k-60k
EMP_00128,EMP_007,Hombre,44,21.3,3.5,Ventas,Mid,Remoto,30k-45k
EMP_00129,EMP_038,Hombre,35,8.8,6.5,UX/UI,Junior,Híbrido,<30k
EMP_00130,EMP_030,Hombre,44,25.6,3.8,Finanzas,Junior,Remoto,<30k
EMP_00131,EMP_013,Mujer,33,12.8,4.0,DevOps,Junior,Presencial,<30k
EMP_00132,EMP_029,Hombre,38,15.1,3.4,Desarrollo,Junior,Híbrido,<30k
EMP_00133,EMP_013,Hombre,48,25.1,3.5,QA,Junior,Remoto,<30k
EMP_00134,EMP_038,Hombre,58,36.9,0.1,Data & IA,Junior,Híbrido,<30k
EMP_00135,EMP_016,Hombre,22,0.0,3.9,Ventas,Mid,Híbrido,30k-45k
EMP_00136,EMP_015,Hombre,28,4.6,2.6,RRHH,Mid,Remoto,30k-45k
EMP_00137,EMP_000,Hombre,48,24.4,0.7,Ventas,Junior,Presencial,<30k
EMP_00138,EMP_043,Mujer,24,0.9,0.0,UX/UI,Mid,Híbrido,30k-45k
EMP_00139,EMP_048,Mujer,41,21.5,4.5,UX/UI,Mid,Híbrido,30k-45k
EMP_00140,EMP_048,Mujer,34,10.9,0.2,Data & IA,Mid,Presencial,30k-45k
EMP_00141,EMP_021,Mujer,46,23.3,3.9,Desarrollo,Senior,Híbrido,45k-60k
EMP_00142,EMP_028,Mujer,27,1.2,4.2,UX/UI,Senior,Remoto,45k-60k
EMP_00143,EMP_021,Mujer,37,15.4,3.0,Producto,Mid,Híbrido,30k-45k
EMP_00144,EMP_048,Hombre,58,37.7,0.9,DevOps,Senior,Híbrido,45k-60k
EMP_00145,EMP_014,Mujer,39,16.1,1.9,Desarrollo,Mid,Híbrido,30k-45k
EMP_00146,EMP_031,Hombre,36,18.3,1.5,Producto,Junior,Híbrido,<30k
EMP_00147,EMP_045,Mujer,24,1.8,5.0,Data & IA,Junior,Híbrido,<30k
EMP_00148,EMP_009,Mujer,49,25.0,2.0,Producto,Mid,Remoto,30k-45k
EMP_00149,EMP_011,Hombre,57,30.8,1.9,Data & IA,Mid,Remoto,30k-45k
EMP_00150,EMP_027,Mujer,49,23.2,3.7,Producto,Junior,Remoto,<30k
EMP_00151,EMP_017,Hombre,41,16.0,4.4,Administración,Senior,Presencial,45k-60k
EMP_00152,EMP_000,Mujer,34,9.4,6.7,Data & IA,Lead,Híbrido,>60k
EMP_00153,EMP_029,Hombre,51,28.9,2.4,Finanzas,Lead,Híbrido,>60k
EMP_00154,EMP_006,Mujer,22,0.7,3.0,Ventas,Mid,Híbrido,30k-45k
EMP_00155,EMP_023,Hombre,32,6.6,5.7,DevOps,Mid,Presencial,30k-45k
EMP_00156,EMP_018,Hombre,43,21.5,5.5,Finanzas,Senior,Remoto,45k-60k
EMP_00157,EMP_014,Hombre,54,27.1,1.2,Data & IA,Junior,Presencial,<30k
EMP_00158,EMP_046,Hombre,22,0.7,6.8,UX/UI,Senior,Híbrido,45k-60k
EMP_00159,EMP_049,Mujer,26,4.0,3.1,Finanzas,Senior,Presencial,45k-60k
EMP_00160,EMP_000,Hombre,58,37.8,4.6,Ventas,Junior,Remoto,<30k
EMP_00161,EMP_020,Hombre,40,17.4,0.0,Producto,Mid,Híbrido,30k-45k
EMP_00162,EMP_002,Mujer,22,0.2,4.0,DevOps,Mid,Presencial,30k-45k
EMP_00163,EMP_005,Mujer,22,2.1,6.1,RRHH,Mid,Remoto,30k-45k
EMP_00164,EMP_031,Hombre,49,20.0,2.5,Data & IA,Mid,Híbrido,30k-45k
EMP_00165,EMP_022,Mujer,24,4.4,3.1,DevOps,Junior,Presencial,<30k
EMP_00166,EMP_020,Mujer,26,2.9,8.1,UX/UI,Junior,Híbrido,<30k
EMP_00167,EMP_035,Hombre,44,23.3,5.7,Marketing,Junior,Híbrido,<30k
EMP_00168,EMP_030,Hombre,23,1.4,3.1,Data & IA,Senior,Remoto,45k-60k
EMP_00169,EMP_045,Mujer,55,34.6,7.1,QA,Mid,Híbrido,30k-45k
EMP_00170,EMP_037,Mujer,55,33.4,0.0,QA,Junior,Remoto,<30k
EMP_00171,EMP_045,Hombre,45,22.5,4.1,Administración,Junior,Remoto,<30k
EMP_00172,EMP_019,Hombre,38,16.0,4.6,Producto,Lead,Híbrido,>60k
EMP_00173,EMP_048,Mujer,41,19.8,2.9,Desarrollo,Senior,Híbrido,45k-60k
EMP_00174,EMP_017,Hombre,23,3.2,0.1,Finanzas,Junior,Presencial,<30k
EMP_00175,EMP_005,Hombre,32,10.7,1.1,Finanzas,Lead,Híbrido,>60k
EMP_00176,EMP_015,Mujer,25,4.5,2.4,DevOps,Mid,Híbrido,30k-45k
EMP_00177,EMP_012,Mujer,24,2.9,3.0,Marketing,Mid,Remoto,30k-45k
EMP_00178,EMP_031,Hombre,40,17.0,5.1,Producto,Junior,Presencial,<30k
EMP_00179,EMP_019,Hombre,43,18.1,2.6,Marketing,Mid,Remoto,30k-45k
EMP_00180,EMP_030,Mujer,55,32.3,1.4,Finanzas,Junior,Remoto,<30k
EMP_00181,EMP_044,Hombre,48,24.6,3.4,Desarrollo,Mid,Remoto,30k-45k
EMP_00182,EMP_024,Hombre,51,28.2,0.9,Producto,Junior,Híbrido,<30k
EMP_00183,EMP_039,Mujer,38,17.7,1.8,DevOps,Junior,Remoto,<30k
EMP_00184,EMP_001,Mujer,56,32.9,1.8,DevOps,Mid,Remoto,30k-45k
EMP_00185,EMP_029,Hombre,43,22.5,1.4,Administración,Mid,Híbrido,30k-45k
EMP_00186,EMP_030,Hombre,35,16.3,2.5,DevOps,Mid,Presencial,30k-45k
EMP_00187,EMP_004,Mujer,35,14.7,3.9,UX/UI,Mid,Presencial,30k-45k
EMP_00188,EMP_017,Mujer,39,20.0,0.0,Finanzas,Junior,Híbrido,<30k
EMP_00189,EMP_000,Hombre,36,14.6,2.0,RRHH,Senior,Remoto,45k-60k
EMP_00190,EMP_032,Hombre,49,25.7,0.8,UX/UI,Mid,Presencial,30k-45k
EMP_00191,EMP_022,Hombre,46,24.4,4.8,RRHH,Junior,Híbrido,<30k
EMP_00192,EMP_018,Mujer,25,5.7,0.4,Producto,Junior,Híbrido,<30k
EMP_00193,EMP_000,Hombre,39,17.2,1.3,Marketing,Mid,Híbrido,30k-45k
EMP_00194,EMP_042,Hombre,55,37.2,5.8,Administración,Mid,Híbrido,30k-45k
EMP_00195,EMP_000,Mujer,40,15.0,0.7,UX/UI,Senior,Presencial,45k-60k
EMP_00196,EMP_034,Mujer,47,22.2,4.2,RRHH,Mid,Híbrido,30k-45k
EMP_00197,EMP_007,Hombre,27,2.2,4.1,Ventas,Lead,Híbrido,>60k
EMP_00198,EMP_038,Hombre,43,19.8,0.5,Finanzas,Mid,Presencial,30k-45k
EMP_00199,EMP_002,Mujer,25,4.6,3.3,Marketing,Mid,Remoto,30k-45k
EMP_00200,EMP_014,Mujer,36,12.8,4.5,QA,Junior,Híbrido,<30k
EMP_00201,EMP_017,Mujer,59,38.1,3.4,Desarrollo,Mid,Presencial,30k-45k
EMP_00202,EMP_017,Hombre,36,10.5,8.2,Marketing,Junior,Remoto,<30k
EMP_00203,EMP_005,Mujer,26,2.9,1.0,Data & IA,Lead,Presencial,>60k
EMP_00204,EMP_010,Hombre,40,19.3,1.4,Finanzas,Junior,Remoto,<30k
EMP_00205,EMP_004,Mujer,33,11.5,1.2,Producto,Senior,Híbrido,45k-60k
EMP_00206,EMP_018,Hombre,59,34.7,3.5,Ventas,Junior,Presencial,<30k
EMP_00207,EMP_033,Mujer,57,36.8,0.0,Data & IA,Mid,Remoto,30k-45k
EMP_00208,EMP_014,Hombre,27,3.3,2.2,RRHH,Mid,Presencial,30k-45k
EMP_00209,EMP_040,Hombre,44,19.2,3.5,Administración,Junior,Híbrido,<30k
EMP_00210,EMP_005,Hombre,23,5.8,1.8,Data & IA,Senior,Remoto,45k-60k
EMP_00211,EMP_016,Mujer,56,35.2,2.6,RRHH,Junior,Híbrido,<30k
EMP_00212,EMP_009,Mujer,35,12.0,0.5,Producto,Mid,Híbrido,30k-45k
EMP_00213,EMP_047,Mujer,22,1.0,6.2,Desarrollo,Mid,Híbrido,30k-45k
EMP_00214,EMP_009,Hombre,50,28.7,2.2,Marketing,Mid,Híbrido,30k-45k
EMP_00215,EMP_045,Hombre,35,14.0,4.0,DevOps,Mid,Presencial,30k-45k
EMP_00216,EMP_018,Mujer,58,37.1,5.1,Desarrollo,Mid,Híbrido,30k-45k
EMP_00217,EMP_016,Mujer,47,24.5,4.2,Ventas,Senior,Híbrido,45k-60k
EMP_00218,EMP_002,Hombre,46,23.0,6.8,RRHH,Senior,Híbrido,45k-60k
EMP_00219,EMP_036,Mujer,35,13.5,4.6,Ventas,Senior,Híbrido,45k-60k
EMP_00220,EMP_043,Hombre,54,32.0,6.4,RRHH,Mid,Híbrido,30k-45k
EMP_00221,EMP_026,Mujer,46,21.6,0.0,Finanzas,Mid,Remoto,30k-45k
EMP_00222,EMP_038,Mujer,23,2.8,3.2,UX/UI,Mid,Híbrido,30k-45k
EMP_00223,EMP_031,Hombre,27,5.3,4.1,Desarrollo,Mid,Híbrido,30k-45k
EMP_00224,EMP_019,Mujer,29,5.2,4.0,Producto,Senior,Remoto,45k-60k
EMP_00225,EMP_002,Hombre,50,31.4,2.9,DevOps,Senior,Híbrido,45k-60k
EMP_00226,EMP_026,Mujer,48,25.0,3.8,Administración,Mid,Híbrido,30k-45k
EMP_00227,EMP_048,Hombre,54,33.9,4.4,QA,Mid,Presencial,30k-45k
EMP_00228,EMP_008,Mujer,54,32.1,2.0,RRHH,Mid,Presencial,30k-45k
EMP_00229,EMP_008,Hombre,31,12.3,2.9,Administración,Junior,Presencial,<30k
EMP_00230,EMP_046,Mujer,59,32.5,4.4,Marketing,Junior,Presencial,<30k
EMP_00231,EMP_043,Hombre,45,23.1,8.0,Ventas,Junior,Presencial,<30k
EMP_00232,EMP_045,Mujer,29,6.1,1.9,Administración,Lead,Híbrido,>60k
EMP_00233,EMP_009,Mujer,33,13.7,7.0,RRHH,Junior,Presencial,<30k
EMP_00234,EMP_001,Hombre,47,23.5,0.5,Producto,Mid,Híbrido,30k-45k
EMP_00235,EMP_001,Hombre,32,9.8,3.7,Producto,Junior,Híbrido,<30k
EMP_00236,EMP_009,Mujer,27,3.2,0.0,Desarrollo,Mid,Presencial,30k-45k
EMP_00237,EMP_021,Mujer,33,10.5,2.1,Finanzas,Junior,Híbrido,<30k
EMP_00238,EMP_010,Hombre,33,13.4,4.3,Data & IA,Lead,Híbrido,>60k
EMP_00239,EMP_024,Hombre,52,27.3,6.8,Marketing,Mid,Presencial,30k-45k
EMP_00240,EMP_029,Mujer,50,26.7,2.0,Marketing,Mid,Híbrido,30k-45k
EMP_00241,EMP_020,Mujer,57,35.1,5.2,RRHH,Lead,Remoto,>60k
EMP_00242,EMP_032,Hombre,36,12.8,2.7,DevOps,Lead,Híbrido,>60k
EMP_00243,EMP_008,Hombre,30,9.2,1.7,Marketing,Junior,Presencial,<30k
EMP_00244,EMP_048,Hombre,47,23.0,0.0,UX/UI,Mid,Híbrido,30k-45k
EMP_00245,EMP_021,Mujer,46,20.9,0.0,DevOps,Senior,Remoto,45k-60k
EMP_00246,EMP_049,Mujer,48,23.0,2.5,Administración,Senior,Híbrido,45k-60k
EMP_00247,EMP_011,Hombre,45,20.6,3.6,Ventas,Mid,Presencial,30k-45k
EMP_00248,EMP_029,Mujer,45,25.1,1.6,DevOps,Mid,Híbrido,30k-45k
EMP_00249,EMP_013,Hombre,43,19.7,1.7,Ventas,Mid,Híbrido,30k-45k
EMP_00250,EMP_017,Mujer,28,5.9,3.9,Ventas,Junior,Híbrido,<30k
EMP_00251,EMP_015,Hombre,41,17.4,2.7,Administración,Mid,Híbrido,30k-45k
EMP_00252,EMP_007,Mujer,28,4.6,3.3,Administración,Senior,Híbrido,45k-60k
EMP_00253,EMP_003,Mujer,44,24.7,2.3,Data & IA,Senior,Híbrido,45k-60k
EMP_00254,EMP_003,Mujer,53,35.5,1.9,QA,Junior,Híbrido,<30k
EMP_00255,EMP_025,Mujer,50,33.1,0.8,Finanzas,Senior,Remoto,45k-60k
EMP_00256,EMP_045,Mujer,39,19.1,1.0,Data & IA,Mid,Presencial,30k-45k
EMP_00257,EMP_036,Hombre,23,0.0,8.6,Producto,Senior,Híbrido,45k-60k
EMP_00258,EMP_030,Hombre,51,26.6,3.4,QA,Junior,Remoto,<30k
EMP_00259,EMP_046,Hombre,22,0.0,2.6,Producto,Junior,Presencial,<30k
EMP_00260,EMP_022,Mujer,24,0.0,1.4,DevOps,Junior,Híbrido,<30k
EMP_00261,EMP_042,Hombre,55,32.3,2.9,QA,Mid,Híbrido,30k-45k
EMP_00262,EMP_031,Mujer,49,29.4,0.0,RRHH,Mid,Híbrido,30k-45k
EMP_00263,EMP_015,Hombre,24,3.4,0.7,Producto,Senior,Híbrido,45k-60k
EMP_00264,EMP_010,Hombre,29,7.2,2.7,DevOps,Mid,Híbrido,30k-45k
EMP_00265,EMP_000,Mujer,24,2.3,5.0,Data & IA,Mid,Híbrido,30k-45k
EMP_00266,EMP_047,Hombre,29,6.5,2.3,Data & IA,Lead,Remoto,>60k
EMP_00267,EMP_022,Mujer,35,15.5,3.8,Marketing,Mid,Presencial,30k-45k
EMP_00268,EMP_003,Mujer,37,18.3,1.0,RRHH,Senior,Híbrido,45k-60k
EMP_00269,EMP_020,Hombre,42,16.6,1.2,Data & IA,Junior,Híbrido,<30k
EMP_00270,EMP_028,Hombre,39,17.7,0.5,Administración,Junior,Remoto,<30k
EMP_00271,EMP_041,Hombre,39,14.5,1.4,Marketing,Junior,Híbrido,<30k
EMP_00272,EMP_007,Mujer,23,0.3,2.8,Marketing,Senior,Híbrido,45k-60k
EMP_00273,EMP_038,Hombre,41,16.4,6.5,QA,Junior,Remoto,<30k
EMP_00274,EMP_013,Mujer,51,30.9,2.3,Data & IA,Lead,Híbrido,>60k
EMP_00275,EMP_002,Mujer,56,35.9,2.9,Marketing,Lead,Híbrido,>60k
EMP_00276,EMP_018,Hombre,53,30.3,2.9,Finanzas,Senior,Híbrido,45k-60k
EMP_00277,EMP_014,Mujer,35,14.7,5.1,Data & IA,Mid,Remoto,30k-45k
EMP_00278,EMP_046,Hombre,46,22.8,2.2,QA,Senior,Híbrido,45k-60k
EMP_00279,EMP_020,Mujer,25,5.2,5.3,QA,Junior,Híbrido,<30k
EMP_00280,EMP_025,Mujer,27,1.7,4.1,DevOps,Mid,Remoto,30k-45k
EMP_00281,EMP_049,Mujer,38,15.9,0.0,RRHH,Lead,Remoto,>60k
EMP_00282,EMP_012,Hombre,33,11.5,5.0,Administración,Mid,Híbrido,30k-45k
EMP_00283,EMP_007,Mujer,33,10.8,7.6,Administración,Mid,Híbrido,30k-45k
EMP_00284,EMP_005,Mujer,31,8.7,4.6,Desarrollo,Mid,Remoto,30k-45k
EMP_00285,EMP_044,Hombre,49,26.2,5.9,RRHH,Lead,Híbrido,>60k
EMP_00286,EMP_021,Hombre,23,2.0,1.5,Producto,Mid,Presencial,30k-45k
EMP_00287,EMP_010,Hombre,57,34.5,5.4,Ventas,Senior,Híbrido,45k-60k
EMP_00288,EMP_038,Mujer,57,33.0,5.1,Ventas,Mid,Remoto,30k-45k
EMP_00289,EMP_037,Mujer,56,33.7,4.1,Data & IA,Senior,Presencial,45k-60k
